,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YJL081C,11.41552557,11.59877582,10.98491685,11.40777266,11.20414967,11.35653052,11.28581703,11.39455677,11.28517232,11.53591557,11.45173526,11.3344003,11.62173713,11.57665868,11.34480589,11.48117389,11.37818418,11.56898141,11.36700673,11.37302571,11.57573751,11.61147486
YJL082W,10.70848172,11.24695784,10.9764689,10.91572229,10.75877169,10.33824627,10.53953973,10.91325376,10.75923437,11.25181802,11.19562413,10.97338547,11.12742803,10.88956076,10.69330244,10.95600882,10.62979953,10.66608561,10.94459482,10.98666429,10.94766463,11.05243422
YJL097W,9.805149346,9.770961529,9.771460108,9.385705805,9.986107525,10.6619181,10.07952321,9.845962638,10.28557693,10.42515812,9.90444324,10.06795101,10.0325317,9.417733571,10.11357572,9.804691878,9.532130156000001,9.591737598,10.11763431,10.08961,9.627175441,10.30911631
YJL104W,11.74817261,11.57837549,11.743358500000001,11.48314815,12.060520599999998,12.31050804,11.90267075,12.05388857,11.78250527,11.70615203,11.217530400000001,11.54924083,11.60107525,11.97831698,11.97875535,12.09139199,11.94437256,12.06302804,11.60113318,11.59984016,12.04717429,11.40494438
YJL109C,9.898678802000001,9.949602862999999,9.983062897,10.34361781,10.17853654,10.54900491,9.976328895,10.4574866,9.328901827000001,10.91726542,10.13269503,10.33992251,10.05382504,10.76475494,10.23260998,10.49798485,10.32228767,10.95860892,10.16124674,10.32416035,10.68086967,10.39541206
YJL111W,11.7063108,11.7425196,11.54599889,11.73007397,11.86111975,11.698199,11.68633583,11.95053035,11.63963839,11.57693093,11.930373699999999,11.61288619,11.81714591,11.86099209,11.70449398,11.91029613,11.66626892,11.99245619,11.64013818,11.97644309,11.90697673,11.755251699999999
YJL115W,12.27339966,11.82069214,11.22155029,11.56055279,10.15135339,10.83610102,12.23050409,11.53890278,11.26609423,11.853450599999999,11.85664498,11.39673493,12.15184871,11.29059708,11.725946,11.62763939,11.84253898,10.94920068,11.90018486,11.399866900000001,10.84287633,11.83297977
YJL117W,11.70766695,11.85873803,11.46509534,11.74802874,11.85146214,12.00343816,11.51546948,12.11383084,11.49114863,11.97100889,11.99283115,12.17389657,11.82338429,12.23254473,11.79995003,12.09383541,11.69362552,11.75825626,11.99274069,12.05228247,11.91531582,12.11841633
YJL123C,11.71746733,11.46619708,11.63687598,12.17511844,11.67346007,12.21921122,12.02218034,12.16295546,11.48436511,11.42939451,11.54251487,12.51570775,11.93570587,11.71516778,11.95222082,12.09189415,11.87633686,12.20068785,12.02632941,12.15017252,12.19974195,11.97945935
YJL124C,11.10324368,10.66645942,10.76492876,10.97059904,11.24857724,11.34305848,11.05791923,11.30701845,10.9388957,11.03047883,10.90273231,11.19634994,11.25619863,11.30098417,11.181422,11.25658818,10.89020914,11.52313383,11.11762444,11.11798938,11.22005892,11.57811971
YJL125C,12.52046368,11.58142623,12.01983179,12.21843891,11.91185219,12.19207411,11.94770084,12.438172199999999,11.97659782,12.191117599999998,12.18200455,12.02328111,12.41491348,12.330741999999999,11.855951699999999,12.17242748,12.47656393,12.06023224,12.236075900000001,12.21532463,12.42799236,12.1963455
YJL128C,9.726695391,10.81347347,9.12950374,9.881919316,9.66050579,10.15439861,9.472885677999999,10.25134345,9.464917604,9.974840063,10.02593582,10.12488077,10.12406888,10.73922587,10.2655826,10.15449141,9.720861802,10.34094358,10.29020694,10.50126394,10.30251616,10.08178738
YJL130C,12.58133521,12.54043356,12.26036977,12.52201702,12.48879664,12.16299637,12.71579481,12.59505183,12.5820157,12.65962006,12.82361049,12.29786792,12.13928487,11.69041131,12.51590534,12.40879435,12.31091526,12.80537103,12.70213089,12.92698042,12.40216533,12.69534965
YJL136C,13.69010305,11.90910392,13.59510858,13.65316994,13.14628638,13.46952329,13.47437146,13.15459844,13.21617664,13.43990287,13.37945388,14.00715553,13.59819454,12.97723247,13.39680791,13.30800616,13.80759327,13.56117987,13.32644262,13.26271845,13.46501909,13.72242432
YJL140W,11.16126456,10.948935699999998,10.98564871,10.77033812,10.58902299,10.99584626,10.70143781,11.09417216,10.70214476,11.10036634,11.23142414,10.94185698,11.17677417,11.06302956,10.93208285,11.0309424,11.55829395,11.29200775,10.84632999,11.04604282,10.86873606,11.30173993
