,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YGL056C,-44755.8,-44740.8,-44504.27777777778,-44220.8,-44553.8,-44504.27777777778,-44275.8,-44553.8,-43972.8,-44594.8,-44594.8,-44457.8,-44646.8,-44054.97314578005,-44504.27777777778,-44553.8,-44553.8,-44275.8,-44718.8,-44718.8,-44553.8,-44751.8
YGL057C,-21048.739711811093,-20990.722938044317,-21027.739711811093,-21027.739711811093,-21027.739711811093,-21027.739711811093,-21041.739711811093,-21027.739711811093,-21441.906602870815,-20410.810639129388,-22251.55155844156,-20909.807126207124,-23055.55155844156,-20694.889884827815,-21027.739711811093,-21027.739711811093,-21027.739711811093,-21041.739711811093,-21330.81913002575,-21330.81913002575,-21027.739711811093,-21822.46592861856
YGL062W,-118724.32728203695,-118789.32728203695,-118790.32728203695,-118882.32728203695,-117727.55536398469,-118882.32728203695,-118201.95689865689,-118825.32728203695,-119224.32728203695,-119354.83015873017,-119354.83015873017,-118732.09715821814,-118885.32728203695,-118926.32728203695,-118882.32728203695,-118882.32728203695,-117833.2261904762,-117785.38557391813,-118517.32728203695,-118517.32728203695,-118149.95689865689,-120136.15690546013
YGL068W,-17686.690476190477,-17836.690476190477,-17686.690476190477,-17929.690476190477,-17686.690476190477,-17686.690476190477,-17686.690476190477,-17686.690476190477,-17735.690476190477,-17735.690476190477,-17735.690476190477,-17735.690476190477,-17735.690476190477,-17735.690476190477,-17686.690476190477,-17686.690476190477,-17686.690476190477,-17686.690476190477,-17735.690476190477,-17735.690476190477,-17686.690476190477,-17735.690476190477
YGL070C,-10495.444391413313,-10495.444391413313,-10495.444391413313,-10495.444391413313,-10495.444391413313,-10665.034135003058,-10495.444391413313,-10495.444391413313,-11105.884116366724,-10495.444391413313,-10495.444391413313,-10495.444391413313,-10495.444391413313,-10445.161782717661,-10495.444391413313,-10495.444391413313,-10495.444391413313,-10495.444391413313,-10495.444391413313,-10495.444391413313,-10495.444391413313,-10496.884116366726
YGL078C,-42298.146217939764,-42018.146217939764,-42333.146217939764,-42050.146217939764,-42298.146217939764,-41985.23034492389,-42298.146217939764,-42298.146217939764,-41849.973026875734,-41812.58926218709,-41812.58926218709,-42385.167460413155,-41636.28281057419,-42594.48614718615,-41849.973026875734,-42298.146217939764,-42298.146217939764,-42298.146217939764,-41113.188252086074,-41113.188252086074,-42298.146217939764,-42018.146217939764
YGL080W,-7922.427718334297,-7922.427718334297,-7922.427718334297,-7922.427718334297,-7922.427718334297,-7922.427718334297,-7922.427718334297,-7922.427718334297,-8475.115509031972,-8609.344385000964,-8609.344385000964,-8475.115509031972,-8475.115509031972,-8475.115509031972,-8475.115509031972,-7922.427718334297,-7922.427718334297,-7922.427718334297,-8472.276593561477,-8472.276593561477,-7922.427718334297,-7516.427718334297
YGL082W,-30650.09837911772,-30866.833230427437,-30835.771927745445,-30835.771927745445,-30773.033038856564,-30835.771927745445,-30835.771927745445,-30773.033038856564,-31456.356829573942,-30873.251023486322,-30873.251023486322,-31795.45864661655,-31265.705019819048,-31795.45864661655,-31456.356829573942,-30773.033038856564,-30773.033038856564,-30773.033038856564,-31225.28552227343,-31225.28552227343,-30773.033038856564,-30606.033038856564
YGL084C,-48192.41608391608,-48387.41608391608,-48588.41608391608,-48531.41608391608,-48427.41608391608,-48427.41608391608,-48427.41608391608,-48427.41608391608,-46691.831334332834,-47331.36666666667,-47331.36666666667,-48588.41608391608,-46893.311111111114,-47822.41608391608,-46691.831334332834,-48427.41608391608,-48427.41608391608,-48427.41608391608,-47775.41608391608,-47775.41608391608,-48427.41608391608,-48176.41608391608
YGL086W,-50492.62618595825,-51018.91402714932,-50726.91402714932,-50726.91402714932,-50644.91402714932,-50648.91402714932,-50382.91402714932,-50644.91402714932,-50309.01190476191,-49969.171884882984,-49969.171884882984,-50726.91402714932,-50516.88655462185,-49962.91274509804,-50309.01190476191,-50644.91402714932,-50644.91402714932,-50644.91402714932,-50079.00668449198,-50079.00668449198,-50644.91402714932,-50727.91402714932
YGL087C,-10420.824675324675,-10420.824675324675,-10219.297402597404,-10219.297402597404,-10219.297402597404,-10420.824675324675,-10219.297402597404,-10219.297402597404,-10420.824675324675,-10420.824675324675,-10420.824675324675,-10219.297402597404,-10420.824675324675,-10420.824675324675,-10420.824675324675,-10219.297402597404,-10219.297402597404,-10219.297402597404,-10420.824675324675,-10420.824675324675,-10219.297402597404,-10420.824675324675
YGL092W,-112765.87045454545,-112085.87045454545,-111820.87045454545,-111826.87045454545,-111483.87045454545,-111675.87045454545,-111405.87045454545,-111483.87045454545,-111184.35576923077,-111750.87045454545,-111644.87045454545,-111483.87045454545,-111611.87045454545,-112320.04545454546,-111184.35576923077,-111483.87045454545,-111483.87045454545,-111483.87045454545,-112392.35576923077,-112392.35576923077,-111483.87045454545,-112109.04545454546
YGL097W,-48489.0,-47978.85183150183,-47978.85183150183,-48274.0,-48037.85183150183,-47978.85183150183,-48274.0,-48037.85183150183,-48578.0,-48533.0,-48533.0,-48316.0,-48329.0,-48883.0,-48578.0,-48037.85183150183,-48037.85183150183,-48037.85183150183,-48883.0,-48883.0,-48037.85183150183,-47978.85183150183
YGL099W,-55181.57142857143,-55139.57142857143,-55160.57142857143,-55160.57142857143,-55160.57142857143,-55883.57142857143,-55160.57142857143,-55160.57142857143,-53425.91221033868,-55783.72480620155,-55783.72480620155,-56093.81182795699,-56122.91025641026,-55726.57142857143,-53425.91221033868,-55160.57142857143,-55160.57142857143,-55160.57142857143,-55688.666666666664,-55688.666666666664,-55160.57142857143,-55480.571428571435
YGL103W,-13479.779487179487,-13479.779487179487,-13479.779487179487,-13370.779487179489,-13479.779487179487,-13479.779487179487,-13479.779487179487,-13479.779487179487,-13181.61282051282,-13479.779487179487,-13479.779487179487,-13118.50170940171,-13479.779487179487,-13479.779487179487,-13181.61282051282,-13479.779487179487,-13479.779487179487,-13479.779487179487,-13479.779487179487,-13479.779487179487,-13479.779487179487,-13640.779487179487
YGL105W,-33342.075,-32918.075,-32918.075,-32361.43536036036,-32994.075,-32918.075,-32881.694444444445,-32994.075,-31777.514285714286,-32650.694444444445,-32650.694444444445,-32795.075,-31849.752380952385,-31966.918220668216,-31777.514285714286,-32994.075,-32994.075,-32994.075,-32575.074999999997,-32575.074999999997,-32994.075,-33004.075
YGL106W,-14357.038461538461,-14493.5,-13959.659259259259,-14076.35294117647,-14317.5,-14275.5,-14272.5,-14310.8125,-14374.5,-14456.038461538461,-14175.35294117647,-14260.478260869566,-14191.35294117647,-14175.35294117647,-14456.038461538461,-14317.5,-14317.5,-14317.5,-14374.5,-14175.35294117647,-14255.5,-14357.038461538461
YGL111W,-39464.53076563959,-39544.46984126984,-39544.46984126984,-39544.46984126984,-39368.53076563959,-39544.46984126984,-39368.53076563959,-39368.53076563959,-40201.53076563959,-38732.46688060732,-38732.46688060732,-39499.16703296703,-39970.20659451659,-40176.898412698414,-40201.53076563959,-39368.53076563959,-39368.53076563959,-39544.46984126984,-39850.53076563959,-39850.53076563959,-39368.53076563959,-39295.53076563959
